,Rel Hum_%,Wind Speed_km/h,Press_kPa,Weather,Visiblity
0,86,4,101.24,Fog,8.0
1,87,4,101.24,Fog,8.0
2,89,7,101.26,"Freezing Drizzle,Fog",4.0
3,88,6,101.27,"Freezing Drizzle,Fog",4.0
4,88,7,101.23,Fog,4.8
5,87,9,101.27,Fog,6.4
6,89,7,101.29,Fog,6.4
7,85,7,101.26,Fog,8.0
8,85,9,101.23,Fog,8.0
9,88,15,101.2,Fog,4.0
10,91,9,101.15,Fog,1.2
11,89,7,100.98,Fog,4.0
12,88,9,100.79,Fog,4.8
13,87,13,100.58,Fog,4.8
14,87,20,100.31,Fog,4.8
15,85,22,100.07,Fog,6.4
16,82,13,99.93,Mostly Cloudy,12.9
17,81,13,99.81,Cloudy,16.1
18,82,15,99.74,Rain,12.9
19,88,15,99.68,Rain,12.9
20,87,19,99.5,Cloudy,25.0
21,85,20,99.39,Cloudy,25.0
22,84,24,99.32,Rain Showers,19.3
23,79,30,99.31,Cloudy,25.0
24,77,35,99.26,Rain Showers,25.0
25,72,39,99.26,Cloudy,25.0
26,71,32,99.26,Mostly Cloudy,25.0
27,69,33,99.3,Mostly Cloudy,25.0
28,69,32,99.26,Mostly Cloudy,25.0
29,70,32,99.21,Mostly Cloudy,25.0
30,70,26,99.18,Mostly Cloudy,25.0
31,70,33,99.14,Mostly Cloudy,25.0
32,68,39,99.14,Mostly Cloudy,24.1
33,67,44,99.14,Mostly Cloudy,24.1
34,66,43,99.18,Mostly Cloudy,24.1
35,66,30,99.19,Mostly Cloudy,24.1
36,56,48,99.21,Mainly Clear,24.1
37,57,37,99.27,Mostly Cloudy,24.1
38,56,33,99.33,Mostly Cloudy,24.1
39,59,33,99.41,Mostly Cloudy,24.1
40,55,24,99.5,Mostly Cloudy,24.1
41,57,22,99.66,Snow Showers,25.0
42,57,28,99.86,Mostly Cloudy,25.0
43,57,24,100.0,Mostly Cloudy,25.0
44,54,24,100.07,Snow Showers,25.0
45,58,26,100.15,Snow Showers,25.0
46,54,20,100.26,Cloudy,25.0
47,59,17,100.27,Snow Showers,19.3
48,57,28,100.35,Snow Showers,25.0
49,54,20,100.43,Cloudy,25.0
50,65,22,100.53,Snow Showers,12.9
51,54,33,100.61,Snow Showers,25.0
52,53,24,100.68,Cloudy,25.0
53,60,22,100.76,Snow Showers,25.0
54,61,19,100.85,Snow Showers,25.0
55,63,19,100.95,Snow,25.0
56,58,26,101.07,Mostly Cloudy,24.1
57,56,19,101.2,Mostly Cloudy,24.1
58,56,24,101.29,Cloudy,24.1
59,54,22,101.33,Mostly Cloudy,24.1
60,52,20,101.34,Mainly Clear,24.1
61,54,22,101.34,Mainly Clear,24.1
62,50,22,101.38,Mainly Clear,24.1
63,53,19,101.44,Mainly Clear,24.1
64,52,22,101.51,Mainly Clear,24.1
65,53,22,101.58,Mainly Clear,24.1
66,52,24,101.64,Mainly Clear,25.0
67,50,24,101.74,Clear,25.0
68,49,24,101.82,Mainly Clear,25.0
69,52,15,101.86,Mostly Cloudy,25.0
70,52,20,101.86,Mostly Cloudy,25.0
71,55,17,101.87,Mostly Cloudy,25.0
72,56,13,101.88,Mostly Cloudy,25.0
73,58,11,101.86,Mainly Clear,25.0
74,61,15,101.89,Mainly Clear,25.0
75,59,13,101.88,Mainly Clear,25.0
76,59,13,101.82,Mainly Clear,25.0
77,62,9,101.77,Mainly Clear,25.0
78,61,11,101.74,Cloudy,25.0
79,60,11,101.75,Cloudy,25.0
80,57,17,101.73,Mostly Cloudy,24.1
81,61,9,101.68,Mostly Cloudy,24.1
82,63,7,101.54,Mostly Cloudy,24.1
83,56,13,101.41,Mostly Cloudy,24.1
84,51,11,101.25,Snow,24.1
85,53,11,101.07,Cloudy,24.1
86,53,7,100.97,Snow,19.3
87,61,11,100.89,Snow,9.7
88,61,13,100.79,Snow,19.3
89,71,9,100.76,Snow,4.8
90,75,11,100.69,Snow,9.7
91,71,9,100.65,Snow,16.1
92,71,9,100.61,Snow,16.1
93,73,7,100.54,Snow,11.3
94,77,6,100.5,Snow,9.7
95,79,6,100.42,Snow,9.7
96,79,4,100.32,Snow,9.7
97,81,0,100.29,Snow,9.7
98,80,9,100.28,Snow,8.0
99,81,11,100.24,Snow,9.7
100,83,9,100.21,Snow,4.8
101,82,4,100.19,Snow,4.0
102,82,6,100.26,Snow,6.4
103,82,9,100.31,Snow,9.7
104,79,11,100.39,Snow,9.7
105,76,9,100.42,Mainly Clear,24.1
106,73,17,100.45,Mainly Clear,48.3
107,70,22,100.41,Mainly Clear,48.3
108,69,20,100.38,Mainly Clear,48.3
109,66,26,100.4,Mainly Clear,48.3
110,65,22,100.46,Mainly Clear,48.3
111,55,26,100.52,Mainly Clear,48.3
112,55,19,100.6,Mainly Clear,24.1
113,56,11,100.65,Mainly Clear,25.0
114,56,11,100.71,Clear,25.0
115,61,7,100.8,Clear,25.0
116,62,9,100.83,Clear,25.0
117,63,13,100.83,Clear,25.0
118,63,7,100.85,Cloudy,25.0
119,61,9,100.83,Cloudy,25.0
120,56,13,100.81,Cloudy,25.0
121,55,17,100.81,Cloudy,25.0
122,61,9,100.84,Cloudy,25.0
123,64,0,100.76,Snow,9.7
124,68,15,100.7,Snow,3.2
125,71,19,100.61,Snow,2.8
126,71,22,100.58,Snow,4.8
127,85,22,100.52,Snow,2.4
128,73,24,100.51,Snow,11.3
129,71,26,100.53,Snow,19.3
130,72,28,100.47,Snow,16.1
131,72,17,100.36,Snow,24.1
